"X" "untreated1" "untreated2" "untreated3" "untreated4" "treated1" "treated2" "treated3"
"118" "FBgn0000337" 25 32 21 23 44 18 20
"119" "FBgn0000338" 1411 3337 1392 1254 3191 1508 1654
"120" "FBgn0000339" 769 976 318 414 1141 371 430
"121" "FBgn0000346" 103 138 47 46 173 88 113
"122" "FBgn0000351" 36 39 21 28 67 27 34
"123" "FBgn0000352" 908 1465 596 585 1405 663 684
"124" "FBgn0000355" 1 2 0 0 1 0 0
"125" "FBgn0000356" 0 0 0 0 0 0 0
"126" "FBgn0000357" 2 6 2 3 7 2 4
"127" "FBgn0000358" 0 1 0 0 0 0 0
"128" "FBgn0000359" 1 1 1 0 1 0 0
"129" "FBgn0000360" 0 0 0 2 1 1 0
"130" "FBgn0000363" 2 8 1 4 7 2 2
"131" "FBgn0000370" 14660 20536 6749 8461 19329 7787 8541
"132" "FBgn0000376" 1206 2049 863 1005 1855 1113 1072
"133" "FBgn0000377" 924 1490 609 674 1369 710 835
"134" "FBgn0000382" 695 1463 569 557 1170 528 566
"135" "FBgn0000384" 867 888 383 402 1064 442 482
"136" "FBgn0000392" 1019 1758 609 674 1934 1072 1050
"137" "FBgn0000394" 761 1048 440 522 854 434 529
"138" "FBgn0000395" 422 1147 450 378 748 313 336
"139" "FBgn0000404" 2988 4150 1538 1674 4292 1849 2014
"140" "FBgn0000405" 2585 3374 1245 1299 4614 2239 2221
"141" "FBgn0000406" 236 744 266 405 141 64 98
"142" "FBgn0000409" 4742 8183 2549 3502 5880 3213 3566
"143" "FBgn0000411" 0 0 0 0 0 0 0
"144" "FBgn0000412" 2586 5079 1761 1952 5223 2368 2396
"145" "FBgn0000413" 2606 4403 2207 2045 3904 2197 2356
"146" "FBgn0000414" 3130 4260 1679 1739 3356 1640 1793
"147" "FBgn0000416" 49160 73644 28018 32770 52959 25468 27780
"148" "FBgn0000422" 6 10 5 4 16 3 8
"149" "FBgn0000426" 721 1405 357 496 1299 503 671
"150" "FBgn0000427" 0 0 0 1 0 0 0
"151" "FBgn0000439" 0 0 0 0 0 0 0
"152" "FBgn0000442" 2 7 3 2 6 1 6
"153" "FBgn0000447" 551 978 320 424 1308 537 622
"154" "FBgn0000448" 7 10 4 7 12 7 8
"155" "FBgn0000449" 0 0 0 0 0 0 0
"156" "FBgn0000451" 1 2 0 0 2 0 1
"157" "FBgn0000454" 3147 4114 1863 2176 3613 2200 2475
"158" "FBgn0000455" 595 787 415 486 723 411 433
"159" "FBgn0000459" 3 7 1 6 9 6 3
"160" "FBgn0000463" 1 0 1 1 1 1 3
"161" "FBgn0000464" 1654 2928 1168 1081 2446 1183 1204
"162" "FBgn0000472" 2067 6534 1974 1850 4639 1704 1998
"163" "FBgn0000473" 9 40 11 11 18 17 15
"164" "FBgn0000477" 1 1 2 2 0 1 2
"165" "FBgn0000479" 990 1751 619 718 1151 663 702
"166" "FBgn0000482" 1156 1731 711 784 1360 825 902
"167" "FBgn0000489" 124 162 79 83 174 95 100
"168" "FBgn0000490" 112 302 115 114 444 213 215
"169" "FBgn0000492" 1 1 0 1 1 0 0
"170" "FBgn0000497" 8 9 2 0 1 0 0
"171" "FBgn0000499" 959 1706 713 708 1416 762 880
"172" "FBgn0000500" 3 7 1 4 4 6 7
"173" "FBgn0000504" 10 19 0 2 32 5 1
"174" "FBgn0000520" 599 868 417 504 737 538 600
"175" "FBgn0000524" 901 1399 550 594 1486 869 817
"176" "FBgn0000527" 178 242 113 129 150 104 77
"177" "FBgn0000529" 2 1 0 0 0 0 1
"178" "FBgn0000533" 2 15 3 7 13 4 8
"179" "FBgn0000535" 155 393 188 157 203 105 106
"180" "FBgn0000536" 1173 1592 483 585 1669 638 668
"181" "FBgn0000541" 5941 11241 3252 2889 9965 3240 3052
"182" "FBgn0000542" 126 311 123 123 238 130 146
"183" "FBgn0000543" 740 1166 457 566 989 616 766
"184" "FBgn0000546" 990 1871 730 643 1513 704 683
"185" "FBgn0000547" 225 528 248 208 648 302 374
"186" "FBgn0000551" 1 4 2 0 0 3 1
"187" "FBgn0000552" 0 0 0 0 0 0 0
"188" "FBgn0000556" 232141 360330 131242 167116 253500 146390 164148
"189" "FBgn0000557" 40 77 27 30 91 29 44
"190" "FBgn0000559" 122803 171656 70067 87334 156921 86253 96004
"191" "FBgn0000560" 0 2 0 0 0 0 1
"192" "FBgn0000562" 1655 2821 1073 1041 2126 1129 1139
"193" "FBgn0000564" 0 0 0 0 0 0 0
"194" "FBgn0000565" 407 865 309 415 1012 628 752
"195" "FBgn0000566" 966 1349 424 600 1300 736 645
"196" "FBgn0000567" 352 600 267 250 265 118 103
"197" "FBgn0000568" 2549 7702 3323 2825 5275 2659 2729
"198" "FBgn0000575" 1297 2586 950 838 3321 1037 1169
"199" "FBgn0000576" 0 0 0 0 0 0 0
"200" "FBgn0000577" 0 2 0 1 0 0 0
"201" "FBgn0000578" 6212 11069 4433 4067 7719 3694 3921
"202" "FBgn0000579" 7956 12276 5310 6039 14036 8739 9264
"203" "FBgn0000581" 3723 6730 2674 2468 5150 2655 2558
"204" "FBgn0000588" 413 570 235 289 444 289 251
"205" "FBgn0000591" 1 0 0 0 0 0 0
"206" "FBgn0000592" 7 3 2 2 7 0 4
"207" "FBgn0000594" 21 32 22 21 45 8 12
"208" "FBgn0000606" 1 2 1 0 0 2 0
"209" "FBgn0000611" 1781 2790 863 1065 2245 955 978
"210" "FBgn0000615" 604 627 207 265 683 294 268
"211" "FBgn0000617" 932 1104 560 691 1184 697 733
"212" "FBgn0000618" 152 263 68 124 274 117 159
"213" "FBgn0000625" 1 1 0 0 1 0 1
"214" "FBgn0000629" 1375 1820 819 875 1505 845 952
"215" "FBgn0000630" 9 36 21 20 30 15 17
"216" "FBgn0000633" 12 35 13 13 56 23 34
"217" "FBgn0000634" 420 538 202 202 694 313 318
"218" "FBgn0000635" 56 260 123 110 259 140 169
"219" "FBgn0000636" 50 103 37 45 83 30 35
"220" "FBgn0000639" 2 1 0 2 0 0 1
"221" "FBgn0000640" 0 8 0 0 1 0 2
"222" "FBgn0000644" 11 12 5 5 5 1 6
"223" "FBgn0000658" 5 7 2 1 10 4 3
"224" "FBgn0000659" 2 5 0 1 7 2 2
"225" "FBgn0000662" 1383 2283 834 841 1843 859 910
"226" "FBgn0000667" 1485 2510 1148 1294 1910 1220 1282
"227" "FBgn0000709" 2350 4163 1779 1772 3364 1635 1804
"228" "FBgn0000711" 1191 2045 630 751 2012 767 821
"229" "FBgn0000715" 0 1 0 0 1 0 0
"230" "FBgn0000719" 2303 3958 1616 1496 3164 1484 1775
"231" "FBgn0000721" 950 1662 644 659 1557 746 792
"232" "FBgn0000723" 2085 3499 1526 1579 2930 1528 1720
"233" "FBgn0000808" 123 264 79 112 212 96 111
"234" "FBgn0000810" 321 739 166 173 597 205 191
"235" "FBgn0000826" 122 169 72 74 199 130 147
"236" "FBgn0000927" 27 36 31 26 51 32 32
"237" "FBgn0000928" 716 880 402 443 1218 661 668
"238" "FBgn0000964" 0 0 0 1 1 0 0
"239" "FBgn0000986" 2997 3829 1629 1572 3955 1941 1905
"240" "FBgn0000996" 1395 2540 814 945 1854 845 879
"241" "FBgn0001075" 34 84 38 33 75 36 32
"242" "FBgn0001077" 0 0 0 0 0 0 0
"243" "FBgn0001078" 1009 2008 942 852 1693 957 943
"244" "FBgn0001079" 467 622 254 277 558 298 323
"245" "FBgn0001083" 248 236 135 137 280 164 169
"246" "FBgn0001084" 64 113 38 50 139 52 69
"247" "FBgn0001085" 6 25 3 6 18 14 7
"248" "FBgn0001086" 1413 2001 738 792 1899 870 925
"249" "FBgn0001087" 1751 2725 1179 1333 2670 1365 1548
"250" "FBgn0001089" 41 93 33 44 76 40 56
"251" "FBgn0001090" 37 50 31 20 78 39 47
"252" "FBgn0001091" 3920 5045 2383 2763 6998 4686 5186
"253" "FBgn0001092" 10447 12387 5021 6445 13829 8575 9816
"254" "FBgn0001098" 511 975 377 429 665 344 389
"255" "FBgn0001099" 0 0 0 0 0 0 0
"256" "FBgn0001104" 7783 12144 4475 4755 11824 5257 5848
"257" "FBgn0001105" 4159 7751 2722 3062 6707 3340 3644
"258" "FBgn0001108" 2628 3903 1668 1772 3156 1721 1837
"259" "FBgn0001112" 1 0 1 0 5 0 0
"260" "FBgn0001114" 45281 85736 30000 34366 43241 25666 27946
"261" "FBgn0001120" 0 4 1 1 6 1 2
"262" "FBgn0001122" 869 1793 504 479 2560 846 934
"263" "FBgn0001123" 939 2236 559 589 1893 579 679
"264" "FBgn0001124" 1065 1642 704 821 2485 1257 1383
"265" "FBgn0001125" 3064 3921 1665 1997 3132 1864 2024
"266" "FBgn0001128" 314 504 205 237 372 164 211
"267" "FBgn0001133" 588 764 311 415 640 387 435
"268" "FBgn0001134" 2 18 6 12 9 8 5
"269" "FBgn0001137" 890 1047 388 505 525 185 216
"270" "FBgn0001138" 1 2 0 0 0 0 0
"271" "FBgn0001139" 3700 7811 3026 3249 5583 2992 3367
"272" "FBgn0001142" 196 645 289 368 654 288 305
"273" "FBgn0001145" 246 800 315 339 632 377 403
"274" "FBgn0001147" 1 0 0 0 0 0 0
"275" "FBgn0001148" 0 0 0 0 0 0 0
"276" "FBgn0001149" 2253 3641 1289 1723 2986 1517 1766
"277" "FBgn0001150" 41 97 33 40 58 28 38
"278" "FBgn0001168" 1958 6380 1985 2066 5181 2098 2363
"279" "FBgn0001169" 1593 2706 1008 945 2314 1072 1129
"280" "FBgn0001170" 1 5 3 1 2 2 1
"281" "FBgn0001174" 0 1 0 2 1 0 0
"282" "FBgn0001179" 993 1649 586 670 1660 773 846
"283" "FBgn0001180" 2 9 4 6 4 1 2
"284" "FBgn0001185" 533 944 283 336 872 318 411
"285" "FBgn0001186" 2388 4792 1719 1866 4097 2011 2216
"286" "FBgn0001187" 8 15 7 6 9 5 16
"287" "FBgn0001189" 1561 2200 819 916 2230 1176 1210
"288" "FBgn0001197" 3484 5247 1799 2264 6030 2857 3154
"289" "FBgn0001202" 904 1198 449 587 1208 502 578
"290" "FBgn0001203" 215 695 323 318 634 298 376
"291" "FBgn0001205" 524 591 314 323 600 356 373
"292" "FBgn0001206" 567 960 325 370 1129 561 581
"293" "FBgn0001208" 1 0 0 0 1 1 0
"294" "FBgn0001215" 7515 11119 4534 4659 8608 4538 5226
"295" "FBgn0001216" 2 2 1 1 4 1 4
"296" "FBgn0001217" 2 2 2 4 2 3 2
"297" "FBgn0001218" 31354 57711 19583 24203 44630 23146 27826
"298" "FBgn0001219" 94034 131418 50403 67285 115180 76338 85947
"299" "FBgn0001220" 7660 10141 3643 4532 9701 4797 5209
"300" "FBgn0001222" 1187 1987 706 800 1693 731 868
"301" "FBgn0001223" 0 0 0 0 0 0 0
"302" "FBgn0001224" 375 569 192 309 1505 669 866
"303" "FBgn0001225" 282 396 159 226 952 477 599
"304" "FBgn0001226" 540 1147 442 662 3177 1700 2012
"305" "FBgn0001227" 24 40 23 21 47 32 34
"306" "FBgn0001228" 0 0 0 0 0 0 0
"307" "FBgn0001229" 1 9 0 1 1 6 3
"308" "FBgn0001230" 162 355 130 142 283 150 180
"309" "FBgn0001233" 48696 67942 28189 35377 73108 39101 40420
"310" "FBgn0001234" 999 1982 934 750 2052 579 653
"311" "FBgn0001235" 0 0 1 0 1 1 0
"312" "FBgn0001247" 1320 2298 750 887 2292 1011 1094
"313" "FBgn0001248" 3356 4249 1735 2200 4256 2636 2831
"314" "FBgn0001250" 36 75 30 34 60 29 38
"315" "FBgn0001253" 2 1 2 4 2 3 1
"316" "FBgn0001254" 0 2 0 1 1 2 0
"317" "FBgn0001255" 28 32 9 17 34 20 7
"318" "FBgn0001256" 1 1 2 1 2 0 0
"319" "FBgn0001257" 5180 13897 4455 5038 15916 7710 9082
"320" "FBgn0001258" 1226 1832 705 888 2932 1683 1892
"321" "FBgn0001259" 14 19 14 13 31 10 18
"322" "FBgn0001263" 40 86 31 33 53 34 30
"323" "FBgn0001269" 0 0 0 0 1 0 0
"324" "FBgn0001276" 179 344 78 132 269 111 123
"325" "FBgn0001280" 613 971 262 358 1050 393 483
"326" "FBgn0001281" 1 1 0 0 2 0 0
"327" "FBgn0001285" 0 0 0 0 0 0 0
"328" "FBgn0001291" 1333 2391 804 924 1790 875 1033
"329" "FBgn0001296" 52 125 56 55 82 57 73
"330" "FBgn0001297" 12165 22605 9192 8952 14950 7364 7828
"331" "FBgn0001301" 1338 1690 753 794 1956 947 960
"332" "FBgn0001308" 4494 6973 3115 3201 5369 3126 3426
"333" "FBgn0001311" 10 17 10 7 24 14 16
"334" "FBgn0001313" 0 0 0 0 0 0 0
"335" "FBgn0001314" 0 0 0 0 0 0 0
"336" "FBgn0001315" 0 0 0 0 0 0 0
"337" "FBgn0001316" 12299 21313 8581 8472 19717 10422 11274
"338" "FBgn0001319" 0 5 1 1 2 1 2
"339" "FBgn0001320" 0 0 0 0 0 0 0
"340" "FBgn0001321" 7 23 6 4 20 5 15
"341" "FBgn0001323" 1 0 0 0 1 0 0
"342" "FBgn0001324" 2839 4214 1807 1894 3593 2051 2075
"343" "FBgn0001325" 2 0 0 0 0 1 1
"344" "FBgn0001330" 559 748 311 334 688 331 330
"345" "FBgn0001332" 1417 2329 925 1002 1522 724 750
"346" "FBgn0001337" 748 1199 443 443 1143 555 582
"347" "FBgn0001341" 468 651 209 238 591 280 251
"348" "FBgn0001404" 1381 2464 816 786 2464 999 1146
"349" "FBgn0001491" 340 621 140 196 500 176 188
"350" "FBgn0001560" 0 0 0 0 0 0 0
"351" "FBgn0001565" 2637 3587 1538 2003 3310 1626 1876
"352" "FBgn0001612" 1017 1217 464 559 1447 619 670
"353" "FBgn0001624" 6913 11881 4437 4276 8959 4141 4572
"354" "FBgn0001941" 4001 6011 1732 2110 4601 1859 2134
"355" "FBgn0001942" 65591 96296 39415 51799 69927 42217 47425
"356" "FBgn0001961" 7286 10095 4732 5718 8386 5549 6037
"357" "FBgn0001965" 2044 3202 1303 1336 2510 1406 1542
"358" "FBgn0001967" 18 26 17 20 6 4 7
"359" "FBgn0001970" 711 820 380 442 771 404 420
"360" "FBgn0001974" 364 620 248 251 505 253 304
"361" "FBgn0001977" 662 1147 378 508 1492 656 679
"362" "FBgn0001978" 5667 10148 4199 4588 8450 4702 5223
"363" "FBgn0001981" 5 3 0 0 5 2 1
"364" "FBgn0001983" 0 0 0 0 0 0 0
"365" "FBgn0001986" 1818 2414 997 1153 1890 1098 1109
"366" "FBgn0001987" 709 808 369 373 1003 503 568
"367" "FBgn0001989" 860 1600 567 724 1251 615 603
"368" "FBgn0001990" 485 814 274 330 662 292 346
"369" "FBgn0001991" 3 9 3 3 5 2 3
"370" "FBgn0001992" 6 7 3 8 9 7 6
"371" "FBgn0001994" 2064 6180 2082 1970 4976 2193 2365
"372" "FBgn0001995" 597 851 318 408 706 404 430
"373" "FBgn0002021" 309 463 158 191 478 206 246
"374" "FBgn0002022" 1638 2305 793 1056 1974 1027 1128
"375" "FBgn0002023" 1 7 1 3 2 1 3
"376" "FBgn0002031" 3694 4504 2103 2593 5032 3057 3163
"377" "FBgn0002036" 98 107 40 62 100 47 61
"378" "FBgn0002044" 2966 5295 1945 2078 4293 2120 2086
"379" "FBgn0002069" 3977 6005 2542 3217 6017 3385 3717
"380" "FBgn0002121" 3845 7067 2304 1945 6167 1848 1876
"381" "FBgn0002174" 1161 1680 813 914 1369 965 986
"382" "FBgn0002183" 7975 13485 4852 5695 10611 5695 6427
"383" "FBgn0002283" 439 541 233 267 445 257 309
"384" "FBgn0002284" 1968 2430 978 1212 2721 1444 1517
"385" "FBgn0002306" 3 12 13 3 13 7 3
"386" "FBgn0002354" 193 230 74 136 302 105 136
"387" "FBgn0002413" 3240 5724 2087 2255 4809 2207 2362
"388" "FBgn0002431" 7350 11695 3900 3974 10618 4366 3874
"389" "FBgn0002440" 67 40 22 27 79 29 31
"390" "FBgn0002441" 2036 3155 1149 1296 2586 1337 1409
"391" "FBgn0002466" 2676 3974 1445 1551 3980 1812 1766
"392" "FBgn0002521" 685 926 218 195 1127 188 212
"393" "FBgn0002522" 0 1 1 1 0 0 0
"394" "FBgn0002524" 6568 9002 3394 3896 8881 3964 3981
"395" "FBgn0002525" 5585 8349 3214 3304 7414 4101 4191
"396" "FBgn0002526" 94805 153771 56715 57978 136813 68356 64462
"397" "FBgn0002527" 48821 87970 30421 33243 46825 21218 21010
"398" "FBgn0002528" 14851 23041 9876 10644 19929 11700 11909
"399" "FBgn0002531" 5 6 11 5 10 4 3
"400" "FBgn0002533" 0 0 0 0 1 0 0
"401" "FBgn0002534" 1 1 1 0 0 0 2
"402" "FBgn0002535" 1 3 0 0 0 1 0
"403" "FBgn0002542" 1493 2181 831 921 2139 997 1018
"404" "FBgn0002543" 395 1282 643 557 1833 967 981
"405" "FBgn0002552" 1294 1675 785 881 1351 916 1016
"406" "FBgn0002561" 0 0 0 0 0 0 0
"407" "FBgn0002562" 0 0 0 0 0 0 0
"408" "FBgn0002563" 4 8 1 3 4 5 4
"409" "FBgn0002564" 13 30 14 10 35 21 11
"410" "FBgn0002565" 2 5 1 2 0 1 2
"411" "FBgn0002566" 2515 3316 1071 956 4075 992 964
"412" "FBgn0002567" 39 55 21 29 96 56 61
"413" "FBgn0002569" 9 7 4 6 10 2 5
"414" "FBgn0002570" 7 11 5 3 10 5 5
"415" "FBgn0002571" 2 2 2 3 1 2 1
"416" "FBgn0002573" 0 0 0 0 0 0 0
"417" "FBgn0002576" 121 477 268 226 362 253 231
"418" "FBgn0002577" 177 266 101 120 219 110 137
"419" "FBgn0002578" 2 3 0 1 11 4 4
"420" "FBgn0002579" 11729 23091 6688 9210 17152 7692 8734
"421" "FBgn0002590" 35242 47803 22531 31029 40026 25306 29880
"422" "FBgn0002592" 1 22 10 6 10 8 11
"423" "FBgn0002593" 28091 38321 15456 20852 34520 18315 18656
"424" "FBgn0002607" 39497 51197 22100 30578 42679 26240 29443
"425" "FBgn0002609" 95 93 38 35 40 17 13
"426" "FBgn0002622" 45990 71385 29207 41148 54921 36281 41385
"427" "FBgn0002626" 44015 57347 23529 34520 39432 28504 34335
"428" "FBgn0002629" 0 0 0 0 0 0 0
"429" "FBgn0002631" 0 0 0 0 1 1 0
"430" "FBgn0002632" 0 0 0 0 0 0 0
"431" "FBgn0002633" 0 1 0 0 0 0 0
"432" "FBgn0002638" 3106 4845 2009 2296 3771 2087 2195
"433" "FBgn0002641" 444 653 246 301 809 338 338
"434" "FBgn0002643" 3200 5798 2587 2271 4426 2279 2362
"435" "FBgn0002645" 7532 12506 4368 3945 13956 4727 4837
"436" "FBgn0002652" 323 852 187 192 747 253 243
"437" "FBgn0002673" 114 166 68 60 138 63 65
"438" "FBgn0002707" 345 561 180 213 528 247 256
"439" "FBgn0002709" 5 8 0 1 8 3 2
"440" "FBgn0002715" 195 292 85 112 356 158 136
"441" "FBgn0002716" 44 86 42 41 82 31 39
"442" "FBgn0002719" 6433 13682 5910 6703 11262 6360 7156
"443" "FBgn0002723" 385 1001 451 443 609 393 449
"444" "FBgn0002732" 6 10 2 3 4 2 3
"445" "FBgn0002733" 387 489 195 230 516 257 295
"446" "FBgn0002734" 12 34 11 3 10 7 10
"447" "FBgn0002735" 5 5 5 5 5 2 4
"448" "FBgn0002736" 702 1190 319 408 892 391 482
"449" "FBgn0002772" 1 5 1 2 4 0 4
"450" "FBgn0002773" 42 91 32 59 35 15 26
"451" "FBgn0002774" 1108 1696 580 682 1661 687 719
"452" "FBgn0002775" 474 814 250 338 546 280 328
"453" "FBgn0002778" 1970 2341 869 986 1620 639 710
"454" "FBgn0002780" 5143 8215 2441 2739 7038 2079 2253
"455" "FBgn0002781" 4627 7625 3049 3472 6037 3535 3906
"456" "FBgn0002783" 3998 7215 2732 2866 5771 3010 3182
"457" "FBgn0002787" 1853 2797 1144 1301 2661 1437 1611
"458" "FBgn0002789" 0 2 0 0 2 0 0
"459" "FBgn0002791" 499 686 220 265 800 324 326
"460" "FBgn0002838" 0 0 1 1 4 2 0
"461" "FBgn0002842" 2 4 0 2 8 4 2
"462" "FBgn0002855" 0 0 0 0 0 0 0
"463" "FBgn0002856" 0 0 0 0 0 0 0
"464" "FBgn0002862" 0 0 0 0 1 0 0
"465" "FBgn0002863" 7 3 0 0 7 1 0
"466" "FBgn0002865" 0 1 0 1 0 0 1
"467" "FBgn0002868" 229 300 66 97 66 23 26
"468" "FBgn0002869" 0 0 0 0 0 0 0
"469" "FBgn0002872" 725 1220 409 392 1350 530 568
"470" "FBgn0002873" 2336 3334 1393 1177 3949 1642 1730
"471" "FBgn0002878" 1086 1475 608 604 1116 661 658
"472" "FBgn0002887" 0 0 0 0 0 0 0
"473" "FBgn0002891" 946 1611 625 634 1845 864 926
"474" "FBgn0002899" 517 693 233 299 720 315 281
"475" "FBgn0002901" 241 367 122 121 379 147 142
